MLDM,MLMC,XKDM,XKMC,ZYDM,ZYMC
01,哲学,0101,哲学类,010100,哲学类
01,哲学,0101,哲学类,010101,哲学
01,哲学,0101,哲学类,010102,逻辑学
01,哲学,0101,哲学类,010103,宗教学
01,哲学,0101,哲学类,010104,伦理学
01,哲学,0101,哲学类,01010J,哲学基地班
01,哲学,01SY,人文科学试验班类,01SY00,人文科学试验班类
01,哲学,01SY,人文科学试验班类,01SY01,人文科学试验班
02,经济学,0201,经济学类,020100,经济学类
02,经济学,0201,经济学类,020101,经济学
02,经济学,0201,经济学类,020102,经济统计学
02,经济学,0201,经济学类,020103,国民经济管理
02,经济学,0201,经济学类,020104,资源与环境经济学
02,经济学,0201,经济学类,020105,商务经济学
02,经济学,0201,经济学类,020106,能源经济
02,经济学,0201,经济学类,02010J,经济学基地班
02,经济学,0202,财政学类,020200,财政学类
02,经济学,0202,财政学类,020201,财政学
02,经济学,0202,财政学类,020202,税收学
02,经济学,0203,金融学类,020300,金融学类
02,经济学,0203,金融学类,020301,金融学
02,经济学,0203,金融学类,020302,金融工程
02,经济学,0203,金融学类,020303,保险学
02,经济学,0203,金融学类,020304,投资学
02,经济学,0203,金融学类,020305,金融数学
02,经济学,0203,金融学类,020306,信用管理
02,经济学,0203,金融学类,020307,经济与金融
02,经济学,0203,金融学类,020308,精算学
02,经济学,0204,经济与贸易类,020400,经济与贸易类
02,经济学,0204,经济与贸易类,020401,国际经济与贸易
02,经济学,0204,经济与贸易类,020402,贸易经济
02,经济学,02SY,经济试验班类,02SY00,经济试验班类
02,经济学,02SY,经济试验班类,02SY01,经济试验班
02,经济学,02SY,经济试验班类,02SY02,经济管理试验班
03,法学,0301,法学类,030100,法学类
03,法学,0301,法学类,030101,法学
03,法学,0301,法学类,030102,知识产权
03,法学,0301,法学类,030103,监狱学
03,法学,0302,政治学类,030200,政治学类
03,法学,0302,政治学类,030201,政治学与行政学
03,法学,0302,政治学类,030202,国际政治
03,法学,0302,政治学类,030203,外交学
03,法学,0302,政治学类,030204,国际事务与国际关系
03,法学,0302,政治学类,030205,政治学、经济学与哲学
03,法学,0303,社会学类,030300,社会学类
03,法学,0303,社会学类,030301,社会学
03,法学,0303,社会学类,030302,社会工作
03,法学,0303,社会学类,030303,人类学
03,法学,0303,社会学类,030304,女性学
03,法学,0303,社会学类,030305,家政学
03,法学,0304,民族学类,030400,民族学类
03,法学,0304,民族学类,030401,民族学
03,法学,0305,马克思主义理论类,030500,马克思主义理论类
03,法学,0305,马克思主义理论类,030501,科学社会主义
03,法学,0305,马克思主义理论类,030502,中国共产党历史
03,法学,0305,马克思主义理论类,030503,思想政治教育
03,法学,0306,公安学类,030600,公安学类
03,法学,0306,公安学类,030601,治安学
03,法学,0306,公安学类,030602,侦查学
03,法学,0306,公安学类,030603,边防管理
03,法学,0306,公安学类,030604,禁毒学
03,法学,0306,公安学类,030605,警犬技术
03,法学,0306,公安学类,030606,经济犯罪侦查
03,法学,0306,公安学类,030607,边防指挥
03,法学,0306,公安学类,030608,消防指挥
03,法学,0306,公安学类,030609,警卫学
03,法学,0306,公安学类,030610,公安情报学
03,法学,0306,公安学类,030611,犯罪学
03,法学,0306,公安学类,030612,公安管理学
03,法学,0306,公安学类,030613,涉外警务
03,法学,0306,公安学类,030614,国内安全保卫
03,法学,0306,公安学类,030615,警务指挥与战术
03,法学,03SY,法学试验班类,03SY00,法学试验班类
03,法学,03SY,法学试验班类,03SY01,社会科学试验班
03,法学,03SY,法学试验班类,03SY02,法学试验班
04,教育学,0401,教育学类,040100,教育学类
04,教育学,0401,教育学类,040101,教育学
04,教育学,0401,教育学类,040102,科学教育
04,教育学,0401,教育学类,040103,人文教育
04,教育学,0401,教育学类,040104,教育技术学
04,教育学,0401,教育学类,040105,艺术教育
04,教育学,0401,教育学类,040106,学前教育
04,教育学,0401,教育学类,040107,小学教育
04,教育学,0401,教育学类,040108,特殊教育
04,教育学,0401,教育学类,040109,华文教育
04,教育学,0401,教育学类,040110,教育康复学
04,教育学,0402,体育学类,040200,体育学类
04,教育学,0402,体育学类,040201,体育教育
04,教育学,0402,体育学类,040202,运动训练
04,教育学,0402,体育学类,040203,社会体育指导与管理
04,教育学,0402,体育学类,040204,武术与民族传统体育
04,教育学,0402,体育学类,040205,运动人体科学
04,教育学,0402,体育学类,040206,运动康复
04,教育学,0402,体育学类,040207,休闲体育
05,文学,0501,中国语言文学类,050100,中国语言文学类
05,文学,0501,中国语言文学类,050101,汉语言文学
05,文学,0501,中国语言文学类,050102,汉语言
05,文学,0501,中国语言文学类,050103,汉语国际教育
05,文学,0501,中国语言文学类,050104,中国少数民族语言文学
05,文学,0501,中国语言文学类,050105,古典文献学
05,文学,0501,中国语言文学类,050106,应用语言学
05,文学,0501,中国语言文学类,050107,秘书学
05,文学,0501,中国语言文学类,05010J,中国语言文学基地班
05,文学,0502,外国语言文学类,050200,外国语言文学类
05,文学,0502,外国语言文学类,050201,英语
05,文学,0502,外国语言文学类,050202,俄语
05,文学,0502,外国语言文学类,050203,德语
05,文学,0502,外国语言文学类,050204,法语
05,文学,0502,外国语言文学类,050205,西班牙语
05,文学,0502,外国语言文学类,050206,阿拉伯语
05,文学,0502,外国语言文学类,050207,日语
05,文学,0502,外国语言文学类,050208,波斯语
05,文学,0502,外国语言文学类,050209,朝鲜语
05,文学,0502,外国语言文学类,050210,菲律宾语
05,文学,0502,外国语言文学类,050211,梵语巴利语
05,文学,0502,外国语言文学类,050212,印度尼西亚语
05,文学,0502,外国语言文学类,050213,印地语
05,文学,0502,外国语言文学类,050214,柬埔寨语
05,文学,0502,外国语言文学类,050215,老挝语
05,文学,0502,外国语言文学类,050216,缅甸语
05,文学,0502,外国语言文学类,050217,马来语
05,文学,0502,外国语言文学类,050218,蒙古语
05,文学,0502,外国语言文学类,050219,僧伽罗语
05,文学,0502,外国语言文学类,050220,泰语
05,文学,0502,外国语言文学类,050221,乌尔都语
05,文学,0502,外国语言文学类,050222,希伯来语
05,文学,0502,外国语言文学类,050223,越南语
05,文学,0502,外国语言文学类,050224,豪萨语
05,文学,0502,外国语言文学类,050225,斯瓦希里语
05,文学,0502,外国语言文学类,050226,阿尔巴尼亚语
05,文学,0502,外国语言文学类,050227,保加利亚语
05,文学,0502,外国语言文学类,050228,波兰语
05,文学,0502,外国语言文学类,050229,捷克语
05,文学,0502,外国语言文学类,050230,斯洛伐克语
05,文学,0502,外国语言文学类,050231,罗马尼亚语
05,文学,0502,外国语言文学类,050232,葡萄牙语
05,文学,0502,外国语言文学类,050233,瑞典语
05,文学,0502,外国语言文学类,050234,塞尔维亚语
05,文学,0502,外国语言文学类,050235,土耳其语
05,文学,0502,外国语言文学类,050236,希腊语
05,文学,0502,外国语言文学类,050237,匈牙利语
05,文学,0502,外国语言文学类,050238,意大利语
05,文学,0502,外国语言文学类,050239,泰米尔语
05,文学,0502,外国语言文学类,050240,普什图语
05,文学,0502,外国语言文学类,050241,世界语
05,文学,0502,外国语言文学类,050242,孟加拉语
05,文学,0502,外国语言文学类,050243,尼泊尔语
05,文学,0502,外国语言文学类,050244,克罗地亚语
05,文学,0502,外国语言文学类,050245,荷兰语
05,文学,0502,外国语言文学类,050246,芬兰语
05,文学,0502,外国语言文学类,050247,乌克兰语
05,文学,0502,外国语言文学类,050248,挪威语
05,文学,0502,外国语言文学类,050249,丹麦语
05,文学,0502,外国语言文学类,050250,冰岛语
05,文学,0502,外国语言文学类,050251,爱尔兰语
05,文学,0502,外国语言文学类,050252,拉脱维亚语
05,文学,0502,外国语言文学类,050253,立陶宛语
05,文学,0502,外国语言文学类,050254,斯洛文尼亚语
05,文学,0502,外国语言文学类,050255,爱沙尼亚语
05,文学,0502,外国语言文学类,050256,马耳他语
05,文学,0502,外国语言文学类,050257,哈萨克语
05,文学,0502,外国语言文学类,050258,乌兹别克语
05,文学,0502,外国语言文学类,050259,祖鲁语
05,文学,0502,外国语言文学类,050260,拉丁语
05,文学,0502,外国语言文学类,050261,翻译
05,文学,0502,外国语言文学类,050262,商务英语
05,文学,0502,外国语言文学类,050263,阿姆哈拉语
05,文学,0502,外国语言文学类,050264,吉尔吉斯语
05,文学,0502,外国语言文学类,050265,索马里语
05,文学,0502,外国语言文学类,050266,土库曼语
05,文学,0502,外国语言文学类,050267,加泰罗尼亚语
05,文学,0502,外国语言文学类,050268,约鲁巴语
05,文学,0502,外国语言文学类,050269,亚美尼亚语
05,文学,0502,外国语言文学类,050270,马达加斯加语
05,文学,0502,外国语言文学类,050271,格鲁吉亚语
05,文学,0502,外国语言文学类,050272,阿塞拜疆语
05,文学,0502,外国语言文学类,050273,阿非利卡语
05,文学,0502,外国语言文学类,050274,马其顿语
05,文学,0502,外国语言文学类,050275,塔吉克语
05,文学,0503,新闻传播学类,050300,新闻传播学类
05,文学,0503,新闻传播学类,050301,新闻学
05,文学,0503,新闻传播学类,050302,广播电视学
05,文学,0503,新闻传播学类,050303,广告学
05,文学,0503,新闻传播学类,050304,传播学
05,文学,0503,新闻传播学类,050305,编辑出版学
05,文学,0503,新闻传播学类,050306,网络与新媒体
05,文学,0503,新闻传播学类,050307,数字出版
05,文学,05SY,文科试验班类,05SY00,文科试验班类
06,历史学,0601,历史学类,060100,历史学类
06,历史学,0601,历史学类,060101,历史学
06,历史学,0601,历史学类,060102,世界史
06,历史学,0601,历史学类,060103,考古学
06,历史学,0601,历史学类,060104,文物与博物馆学
06,历史学,0601,历史学类,060105,文物保护技术
06,历史学,0601,历史学类,060106,外国语言与外国历史
06,历史学,0601,历史学类,060107,文化遗产
06,历史学,0601,历史学类,06010J,历史学基地班
07,理学,0701,数学类,070100,数学类
07,理学,0701,数学类,070101,数学与应用数学
07,理学,0701,数学类,070102,信息与计算科学
07,理学,0701,数学类,070103,数理基础科学
07,理学,0701,数学类,07010J,数学基地班
07,理学,0702,物理学类,070200,物理学类
07,理学,0702,物理学类,070201,物理学
07,理学,0702,物理学类,070202,应用物理学
07,理学,0702,物理学类,070203,核物理
07,理学,0702,物理学类,070204,声学
07,理学,0702,物理学类,07020J,物理学基地班
07,理学,0703,化学类,070300,化学类
07,理学,0703,化学类,070301,化学
07,理学,0703,化学类,070302,应用化学
07,理学,0703,化学类,070303,化学生物学
07,理学,0703,化学类,070304,分子科学与工程
07,理学,0703,化学类,070305,能源化学
07,理学,0703,化学类,07030J,化学基地班
07,理学,0704,天文学类,070400,天文学类
07,理学,0704,天文学类,070401,天文学
07,理学,0705,地理科学类,070500,地理科学类
07,理学,0705,地理科学类,070501,地理科学
07,理学,0705,地理科学类,070502,自然地理与资源环境
07,理学,0705,地理科学类,070503,人文地理与城乡规划
07,理学,0705,地理科学类,070504,地理信息科学
07,理学,0706,大气科学类,070600,大气科学类
07,理学,0706,大气科学类,070601,大气科学
07,理学,0706,大气科学类,070602,应用气象学
07,理学,0707,海洋科学类,070700,海洋科学类
07,理学,0707,海洋科学类,070701,海洋科学
07,理学,0707,海洋科学类,070702,海洋技术
07,理学,0707,海洋科学类,070703,海洋资源与环境
07,理学,0707,海洋科学类,070704,军事海洋学
07,理学,0708,地球物理学类,070800,地球物理学类
07,理学,0708,地球物理学类,070801,地球物理学
07,理学,0708,地球物理学类,070802,空间科学与技术
07,理学,0709,地质学类,070900,地质学类
07,理学,0709,地质学类,070901,地质学
07,理学,0709,地质学类,070902,地球化学
07,理学,0709,地质学类,070903,地球信息科学与技术
07,理学,0709,地质学类,070904,古生物学
07,理学,0710,生物科学类,071000,生物科学类
07,理学,0710,生物科学类,071001,生物科学
07,理学,0710,生物科学类,071002,生物技术
07,理学,0710,生物科学类,071003,生物信息学
07,理学,0710,生物科学类,071004,生态学
07,理学,0710,生物科学类,07100J,生物学基地班
07,理学,0710,生物科学类,07101J,生命科学与技术基地班
07,理学,0711,心理学类,071100,心理学类
07,理学,0711,心理学类,071101,心理学
07,理学,0711,心理学类,071102,应用心理学
07,理学,0712,统计学类,071200,统计学类
07,理学,0712,统计学类,071201,统计学
07,理学,0712,统计学类,071202,应用统计学
07,理学,07SY,理科试验班类,07SY00,理科试验班类
07,理学,07SY,理科试验班类,07SY01,理科试验班
07,理学,07SY,理科试验班类,07SY02,自然科学试验班
08,工学,0801,力学类,080100,力学类
08,工学,0801,力学类,080101,理论与应用力学
08,工学,0801,力学类,080102,工程力学
08,工学,0802,机械类,080200,机械类
08,工学,0802,机械类,080201,机械工程
08,工学,0802,机械类,080202,机械设计制造及其自动化
08,工学,0802,机械类,080203,材料成型及控制工程
08,工学,0802,机械类,080204,机械电子工程
08,工学,0802,机械类,080205,工业设计
08,工学,0802,机械类,080206,过程装备与控制工程
08,工学,0802,机械类,080207,车辆工程
08,工学,0802,机械类,080208,汽车服务工程
08,工学,0802,机械类,080209,机械工艺技术
08,工学,0802,机械类,080210,微机电系统工程
08,工学,0802,机械类,080211,机电技术教育
08,工学,0802,机械类,080212,汽车维修工程教育
08,工学,0803,仪器类,080300,仪器类
08,工学,0803,仪器类,080301,测控技术与仪器
08,工学,0804,材料类,080400,材料类
08,工学,0804,材料类,080401,材料科学与工程
08,工学,0804,材料类,080402,材料物理
08,工学,0804,材料类,080403,材料化学
08,工学,0804,材料类,080404,冶金工程
08,工学,0804,材料类,080405,金属材料工程
08,工学,0804,材料类,080406,无机非金属材料工程
08,工学,0804,材料类,080407,高分子材料与工程
08,工学,0804,材料类,080408,复合材料与工程
08,工学,0804,材料类,080409,粉体材料科学与工程
08,工学,0804,材料类,080410,宝石及材料工艺学
08,工学,0804,材料类,080411,焊接技术与工程
08,工学,0804,材料类,080412,功能材料
08,工学,0804,材料类,080413,纳米材料与技术
08,工学,0804,材料类,080414,新能源材料与器件
08,工学,0804,材料类,080415,材料设计科学与工程
08,工学,0805,能源动力类,080500,能源动力类
08,工学,0805,能源动力类,080501,能源与动力工程
08,工学,0805,能源动力类,080502,能源与环境系统工程
08,工学,0805,能源动力类,080503,新能源科学与工程
08,工学,0806,电气类,080600,电气类
08,工学,0806,电气类,080601,电气工程及其自动化
08,工学,0806,电气类,080602,智能电网信息工程
08,工学,0806,电气类,080603,光源与照明
08,工学,0806,电气类,080604,电气工程与智能控制
08,工学,0807,电子信息类,080700,电子信息类
08,工学,0807,电子信息类,080701,电子信息工程
08,工学,0807,电子信息类,080702,电子科学与技术
08,工学,0807,电子信息类,080703,通信工程
08,工学,0807,电子信息类,080704,微电子科学与工程
08,工学,0807,电子信息类,080705,光电信息科学与工程
08,工学,0807,电子信息类,080706,信息工程
08,工学,0807,电子信息类,080707,广播电视工程
08,工学,0807,电子信息类,080708,水声工程
08,工学,0807,电子信息类,080709,电子封装技术
08,工学,0807,电子信息类,080710,集成电路设计与集成系统
08,工学,0807,电子信息类,080711,医学信息工程
08,工学,0807,电子信息类,080712,电磁场与无线技术
08,工学,0807,电子信息类,080713,电波传播与天线
08,工学,0807,电子信息类,080714,电子信息科学与技术
08,工学,0807,电子信息类,080715,电信工程及管理
08,工学,0807,电子信息类,080716,应用电子技术教育
08,工学,0808,自动化类,080800,自动化类
08,工学,0808,自动化类,080801,自动化
08,工学,0808,自动化类,080802,轨道交通信号与控制
08,工学,0808,自动化类,080803,机器人工程
08,工学,0809,计算机类,080900,计算机类
08,工学,0809,计算机类,080901,计算机科学与技术
08,工学,0809,计算机类,080902,软件工程
08,工学,0809,计算机类,080903,网络工程
08,工学,0809,计算机类,080904,信息安全
08,工学,0809,计算机类,080905,物联网工程
08,工学,0809,计算机类,080906,数字媒体技术
08,工学,0809,计算机类,080907,智能科学与技术
08,工学,0809,计算机类,080908,空间信息与数字技术
08,工学,0809,计算机类,080909,电子与计算机工程
08,工学,0809,计算机类,080910,数据科学与大数据技术
08,工学,0809,计算机类,080911,网络空间安全
08,工学,0810,土木类,081000,土木类
08,工学,0810,土木类,081001,土木工程
08,工学,0810,土木类,081002,建筑环境与能源应用工程
08,工学,0810,土木类,081003,给排水科学与工程
