api,method,pageID
/api/auth/accounts,GET,
/api/auth/accounts/login,GET,
/api/auth/accounts/{accountId}/active-roles,POST,
/api/auth/accounts/{accountId}/roles-and-cands,GET,
/api/auth/accounts/{accountId}/roles/{roleId},DELETE,
/api/auth/accounts/{accountId}/roles/{roleId}/domains,GET,
/api/auth/accounts/{accountId}/roles/{roleId}/domains,POST,
/api/auth/accounts/{accountId}/roles/{roleId}/domains,PUT,
/api/auth/menus,GET,
/api/auth/menus/granted-pages,GET,
/api/auth/roles,GET,
/api/auth/roles,POST,
/api/auth/roles/{roleId},DELETE,
/api/auth/roles/{roleId},GET,
/api/login,DELETE,
/api/login,GET,
/api/login,HEAD,
/api/login,POST,
/api/login,PUT,
/api/metadata/bachelor-discipline,GET,
/api/metadata/bachelor-discipline-by-page,GET,
/api/metadata/bachelor-discipline-major,GET,
/api/metadata/bachelor-discipline-minor,GET,
/api/metadata/campus,GET,
/api/metadata/campus-by-page,GET,
/api/metadata/degree,GET,
/api/metadata/degree-by-page,GET,
/api/metadata/degree-domainLevel,GET,
/api/metadata/degree-domainLevel-by-page,GET,
/api/metadata/degree-type,GET,
/api/metadata/degree-type-by-page,GET,
/api/metadata/discipline,GET,
/api/metadata/discipline-by-page,GET,
/api/metadata/discipline-major,GET,
/api/metadata/discipline-minor,GET,
/api/metadata/education,GET,
/api/metadata/education-by-page,GET,
/api/metadata/education-mode,GET,
/api/metadata/education-mode-by-page,GET,
/api/metadata/enrollment,GET,
/api/metadata/enrollment-by-page,GET,
/api/metadata/ethnic,GET,
/api/metadata/ethnic-by-page,GET,
/api/metadata/examination,GET,
/api/metadata/examination-by-page,GET,6
/api/metadata/examinee-origin,GET,6
/api/metadata/examinee-origin-by-page,GET,
/api/metadata/gender,GET,
/api/metadata/gender-by-page,GET,
/api/metadata/graduation,GET,
/api/metadata/graduation-by-page,GET,
/api/metadata/marriage,GET,
/api/metadata/marriage-by-page,GET,
/api/metadata/medical,GET,
/api/metadata/medical-by-page,GET,
/api/metadata/military,GET,
/api/metadata/military-by-page,GET,
/api/metadata/nation,GET,
/api/metadata/nation-by-page,GET,
/api/metadata/prestudy,GET,
/api/metadata/prestudy-by-page,GET,
/api/metadata/railway-by-page,GET,
/api/metadata/railway-state,GET,
/api/metadata/railway-station,GET,
/api/metadata/region-by-page,GET,
/api/metadata/region-city,GET,
/api/metadata/region-county,GET,
/api/metadata/region-state,GET,
/api/metadata/religion,GET,
/api/metadata/religion-by-page,GET,
/api/metadata/special-plan,GET,
/api/metadata/special-plan-by-page,GET,
/api/metadata/ssn-type,GET,
/api/metadata/ssn-type-by-page,GET,
/api/metadata/study-mode,GET,
/api/metadata/study-mode-by-page,GET,
/api/metadata/unit,GET,
/api/metadata/unit-by-page,GET,
/api/metadata/unit-department,GET,
/api/metadata/unit-school,GET,
/api/metadata/university,GET,
/api/metadata/university-by-page,GET,
/api/staff,GET,
/api/xj/difficulties/{diffId},DELETE,22
/api/xj/difficulties,GET,22
/api/xj/difficulties,POST,22
/api/xj/difficulties,PUT,22
/api/xj/difficulties/count,GET,22
/api/xj/exams,GET,6
/api/xj/exams,POST,6
/api/xj/exams,PUT,6
/api/xj/exams,DELETE,6
/api/xj/exams/{examId},DELETE,6
/api/xj/exams/export,GET,6
/api/xj/exams/errors,GET,6
/api/xj/exams/paper,GET,48
/api/xj/exams/stats,GET,6
/api/xj/exams/answer,POST,48
/api/xj/exams/upload,POST,6
/api/xj/registration,POST,9
/api/xj/registration/export,GET,10
/api/xj/registration/reset,PUT,10
/api/xj/registration/stats,GET,10
/api/xj/registration/upload,POST,11
/api/xj/repository/{sno},PUT,7
/api/xj/repository,PUT,7
/api/xj/students,POST,4
/api/xj/students,POST,5
/api/xj/students,GET,10
/api/xj/students,GET,7
/api/xj/students/profile,GET,7
/api/xj/students/{sno}/profile,GET,
/api/xj/students/{sno},GET,46
/api/xj/students/{sno},GET,5
/api/xj/students/{sno}/image,POST,
/api/yd/audit/accept,POST,
/api/yd/audit/get-by-reqid,GET,
/api/yd/audit/query,GET,
/api/yd/audit/reject,POST,
/api/yd/audit/searchStatusChangeAudits,POST,
/api/yd/request/get-by-sno,GET,
/api/yd/request/save,POST,
/api/yd/workflow/save,POST,
/autoconfig,GET,
/beans,GET,
/configprops,GET,
/dump,GET,
/env,GET,
/env/{name:.*},GET,
/images/**,DELETE,
/images/**,GET,
/images/**,HEAD,
/images/**,POST,
/images/**,PUT,
/info,GET,
/logfile,GET,
/logfile,HEAD,
/mappings,GET,
/metrics,GET,
/metrics/{name:.*},GET,
/shutdown,POST,
/trace,GET,
/api/yd/workflow/sequence,GET,
/api/metadata/status-change-type-by-minor,GET,
/api/xj/dsImport/upload,POST,
/api/xj/dsImport/error,GET,