角色名,菜单ID,菜单名,菜单备注
超级管理员,1,学籍管理,
超级管理员,2,新生管理,空
超级管理员,3,批量导入,空
超级管理员,4,单人导入,空
超级管理员,5,信息维护,空
超级管理员,6,正式入籍,空
超级管理员,7,入学测试题库,空
超级管理员,8,注册管理,空
超级管理员,9,报到,空
超级管理员,10,缴费,空
超级管理员,11,注册,空
超级管理员,14,异动管理,空
超级管理员,15,类型设置,空
超级管理员,16,流程设置,空
超级管理员,17,异动申请,空
超级管理员,18,异动审核,空
超级管理员,19,信息管理,空
超级管理员,20,分配导师,空
超级管理员,21,信息维护,空
超级管理员,22,助困维护,空
超级管理员,23,预毕(结)业管理,空
超级管理员,24,维护,空
超级管理员,25,审核,空
超级管理员,26,查询,空
超级管理员,27,综合事务管理,空
超级管理员,28,研究生证补办,空
超级管理员,29,学籍卡片打印,空
超级管理员,30,培养管理,空
超级管理员,31,课程培养,空
超级管理员,32,培养方案,空
超级管理员,33,开课,空
超级管理员,34,专业实践,空
超级管理员,35,毕业管理,空
超级管理员,36,毕业生,空
超级管理员,37,终结生,空
超级管理员,38,预答辩,空
超级管理员,39,系统管理,空
超级管理员,40,权限管理,空
超级管理员,41,角色管理,空
超级管理员,42,账号管理,空
超级管理员,43,元数据管理,空
超级管理员,44,元数据查看,空
超级管理员,53,通知管理,空
超级管理员,54,通知发布,空
超级管理员,55,我发布的通知,空
学籍管理员,1,学籍管理,
学籍管理员,2,新生管理,空
学籍管理员,3,批量导入,空
学籍管理员,4,单人导入,空
学籍管理员,5,信息维护,空
学籍管理员,6,正式入籍,空
学籍管理员,7,入学测试题库,空
学籍管理员,8,注册管理,空
学籍管理员,9,报到,空
学籍管理员,10,缴费,空
学籍管理员,11,注册,空
学籍管理员,14,异动管理,空
学籍管理员,15,类型设置,空
学籍管理员,16,流程设置,空
学籍管理员,17,异动申请,空
学籍管理员,18,异动审核,空
学籍管理员,19,信息管理,空
学籍管理员,20,分配导师,空
学籍管理员,21,信息维护,空
学籍管理员,22,助困维护,空
学籍管理员,23,预毕(结)业管理,空
学籍管理员,24,维护,空
学籍管理员,25,审核,空
学籍管理员,26,查询,空
学籍管理员,27,综合事务管理,空
学籍管理员,28,研究生证补办,空
学籍管理员,29,学籍卡片打印,空
学籍管理员,43,元数据管理,空
学籍管理员,44,元数据查看,空
学籍管理员,53,通知管理,空
学籍管理员,54,通知发布,空
学籍管理员,55,我发布的通知,空
研究生秘书（一级教学单位),1,学籍管理,
研究生秘书（一级教学单位),8,注册管理,空
研究生秘书（一级教学单位),11,注册,空
研究生秘书（一级教学单位),14,异动管理,空
研究生秘书（一级教学单位),17,异动申请,空
研究生秘书（一级教学单位),19,信息管理,空
研究生秘书（一级教学单位),20,分配导师,空
研究生秘书（一级教学单位),21,信息维护,空
研究生秘书（一级教学单位),22,助困维护,空
研究生秘书（一级教学单位),27,综合事务管理,空
研究生秘书（一级教学单位),28,研究生证补办,空
研究生秘书（一级教学单位),29,学籍卡片打印,空
研究生秘书（一级教学单位),43,元数据管理,空
研究生秘书（一级教学单位),44,元数据查看,空
研究生秘书（一级教学单位),53,通知管理,空
研究生秘书（一级教学单位),54,通知发布,空
研究生秘书（一级教学单位),55,我发布的通知,空
研究生秘书（一级教学单位),56,查询,预毕业查询
研究生秘书（二级教学单位),1,学籍管理,
研究生秘书（二级教学单位),8,注册管理,空
研究生秘书（二级教学单位),11,注册,空
研究生秘书（二级教学单位),14,异动管理,空
研究生秘书（二级教学单位),17,异动申请,空
研究生秘书（二级教学单位),19,信息管理,空
研究生秘书（二级教学单位),20,分配导师,空
研究生秘书（二级教学单位),21,信息维护,空
研究生秘书（二级教学单位),22,助困维护,空
研究生秘书（二级教学单位),27,综合事务管理,空
研究生秘书（二级教学单位),28,研究生证补办,空
研究生秘书（二级教学单位),29,学籍卡片打印,空
研究生秘书（二级教学单位),43,元数据管理,空
研究生秘书（二级教学单位),44,元数据查看,空
研究生秘书（二级教学单位),53,通知管理,空
研究生秘书（二级教学单位),54,通知发布,空
研究生秘书（二级教学单位),55,我发布的通知,空
研究生秘书（二级教学单位),56,查询,预毕业查询
学生,45,学籍,空
学生,46,学籍信息查看,空
学生,47,学籍异动,空
学生,48,入学测试,空
学生,49,培养,空
学生,50,开题报告,空
学生,51,预毕业,空
学生,52,预毕业信息确认,空
分管领导（一级教学单位),14,异动管理,空
分管领导（一级教学单位),18,异动审核,空
分管领导（一级教学单位),53,通知管理,空
分管领导（一级教学单位),54,通知发布,空
分管领导（一级教学单位),55,我发布的通知,空
分管领导（二级教学单位),14,异动管理,空
分管领导（二级教学单位),18,异动审核,空
分管领导（二级教学单位),53,通知管理,空
分管领导（二级教学单位),54,通知发布,空
分管领导（二级教学单位),55,我发布的通知,空
新生,45,学籍,空
新生,46,学籍信息查看,空
新生,48,入学测试,空
新生,57,入学,入学,
新生,58,入学须知,入学须知
导师,59,学籍,导师
导师,60,我的学生,导师
导师,61,异动审核,导师